Brand,Product,Product Type,Price,Rating,Image URL
KVD Vegan Beauty,Kitten Mini: Everlasting Liquid Lipstick,Lipstick,Price$11.00,4.6 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2570652?id=Brbb52&fmt=jpg&fit=constrain,1&wid=127&hei=360&op_sharpen=1&resMode=bilin"
Lipstick Queen,Frog Prince Lipstick,Lipstick,Price$25.00,4.4 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2287881?id=NS3bO2&fmt=jpg&fit=constrain,1&wid=228&hei=360&op_sharpen=1&resMode=bilin"
MAC,Lipstick Shine,Lipstick,Price$19.00,4.4 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2510542?id=eOkaz0&fmt=jpg&fit=constrain,1&wid=92&hei=361&op_sharpen=1&resMode=bilin"
NYX Professional Makeup,Lip Lingerie Liquid Lipstick,Lipstick,Price$7.00,3.9 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2296864?id=k3Law2&fmt=jpg&fit=constrain,1&wid=122&hei=359&op_sharpen=1&resMode=bilin"
Urban Decay Cosmetics,Vice Lipstick Comfort Matte,Lipstick,Price$19.00,4.6 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2303995?id=flBaK1&fmt=jpg&fit=constrain,1&wid=100&hei=359&op_sharpen=1&resMode=bilin"
Lancôme,L'Absolu Rouge Hydrating Shaping Lipcolor,Lipstick,Price$32.00,4.6 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2309763?id=bzuar1&fmt=jpg&fit=constrain,1&wid=260&hei=320&op_sharpen=1&resMode=bilin"
Beauty Bakerie,Matte Lip Whip,Lipstick,Price$20.00,4.0 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2538263?id=iesa81&fmt=jpg&fit=constrain,1&wid=57&hei=361&op_sharpen=1&resMode=bilin"
Lime Crime,Lip Blaze Cream Liquid Lipstick,Lipstick,Price$20.00,3.7 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2548533?id=kZdb_3&fmt=jpg&fit=constrain,1&wid=139&hei=360&op_sharpen=1&resMode=bilin"
Revlon,Super Lustrous Lipstick,Lipstick,Price$8.49,4.3 out of 5 stars,"https://images.ulta.com/is/image/Ulta/1741444?id=3YNaP2&fmt=jpg&fit=constrain,1&wid=170&hei=360&op_sharpen=1&resMode=bilin"
NYX Professional Makeup,Liquid Suede Cream Lipstick,Lipstick,Price$7.00,4.3 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2292871?id=4uUaG0&fmt=jpg&fit=constrain,1&wid=141&hei=360&op_sharpen=1&resMode=bilin"
MAC,Best-Seller Lipstick Trio,Lipstick,Price$55.00,3.7 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2570203?id=Dfcb20&fmt=jpg&fit=constrain,1&wid=260&hei=307&op_sharpen=1&resMode=bilin"
Maybelline,SuperStay Matte Ink Liquid Lipstick Coffee Edition,Lipstick,Price$9.49,4.3 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2569339?id=pVUaJ3&fmt=jpg&fit=constrain,1&wid=149&hei=360&op_sharpen=1&resMode=bilin"
KKW BEAUTY,Red Crème Lipstick,Lipstick,Price$18.00,3.9 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2548186?id=eA5bu1&fmt=jpg&fit=constrain,1&wid=213&hei=360&op_sharpen=1&resMode=bilin"
BECCA Cosmetics,Ultimate Lipstick Love,Lipstick,Price$24.00,4.5 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2539094?id=lh6bY0&fmt=jpg&fit=constrain,1&wid=180&hei=359&op_sharpen=1&resMode=bilin"
ColourPop,Ultra Blotted Lip,Lipstick,Price$7.00,3.9 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2552491?id=TecbI2&fmt=jpg&fit=constrain,1&wid=118&hei=359&op_sharpen=1&resMode=bilin"
bareMinerals,Gen Nude Matte Liquid Lipcolor,Lipstick,Price$20.00,4.3 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2303740?id=mw9aB0&fmt=jpg&fit=constrain,1&wid=66&hei=362&op_sharpen=1&resMode=bilin"
bareMinerals,BAREPRO Longwear Lipstick,Lipstick,Price$20.00,4.1 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2538057?id=Jl1aT2&fmt=jpg&fit=constrain,1&wid=54&hei=360&op_sharpen=1&resMode=bilin"
MAC,Retro Matte Liquid Lipcolour Metallics,Lipstick,Price$22.00,4.2 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2521038?id=yp1bk0&fmt=jpg&fit=constrain,1&wid=168&hei=360&op_sharpen=1&resMode=bilin"
