Brand,Product,Product Type,Price,Rating,Image URL
Morphe,8R That's Rich Complexion Pro Face Palette,Blush,24.00 ,4.9 ,"https://images.ulta.com/is/image/Ulta/2567618?id=5Ppbj2&fmt=jpg&fit=constrain,1&wid=260&hei=189&op_sharpen=1&resMode=bilin"
Benefit Cosmetics,Dandelion Brightening Baby-Pink Blush,Blush,30.00 ,4.6 ,"https://images.ulta.com/is/image/Ulta/2159837?id=DNKa-3&fmt=jpg&fit=constrain,1&wid=260&hei=209&op_sharpen=1&resMode=bilin"
Physicians Formula,Murumuru Butter Blush,Blush,13.49 ,3.6 ,"https://images.ulta.com/is/image/Ulta/2522395?id=jsmaP3&fmt=jpg&fit=constrain,1&wid=260&hei=286&op_sharpen=1&resMode=bilin"
HAN Skincare Cosmetics,Multistick,Blush,16.00 ,4.9 ,"https://images.ulta.com/is/image/Ulta/2572432?id=e41bF0&fmt=jpg&fit=constrain,1&wid=260&hei=324&op_sharpen=1&resMode=bilin"
Makeup Revolution,Revolution X Roxxsaurus Blush Burst Palette,Blush,15.00 ,4.7 ,"https://images.ulta.com/is/image/Ulta/2566295?id=dOPaM0&fmt=jpg&fit=constrain,1&wid=260&hei=126&op_sharpen=1&resMode=bilin"
NUDESTIX,Matinée to Soirée Kit by Allana Davison,Blush,75.00 ,4.0 ,"https://images.ulta.com/is/image/Ulta/2568444?id=Kb1bS0&fmt=jpg&fit=constrain,1&wid=260&hei=103&op_sharpen=1&resMode=bilin"
Rituel de Fille,Inner Glow Creme Pigment,Blush,29.00 ,4.7 ,"https://images.ulta.com/is/image/Ulta/2572387?id=jU7b31&fmt=jpg&fit=constrain,1&wid=260&hei=286&op_sharpen=1&resMode=bilin"
Benefit Cosmetics,Dallas Blush Mini,Blush,17.00 ,2.0 ,"https://images.ulta.com/is/image/Ulta/2560952?id=Wf6bt0&fmt=jpg&fit=constrain,1&wid=260&hei=323&op_sharpen=1&resMode=bilin"
jane iredale,Just Kissed Lip and Cheek Stain,Blush,28.00 ,4.7 ,"https://images.ulta.com/is/image/Ulta/2544986?id=gTebr0&fmt=jpg&fit=constrain,1&wid=115&hei=361&op_sharpen=1&resMode=bilin"
Maybelline,Fit Me Blush,Blush,5.99 ,3.9 ,"https://images.ulta.com/is/image/Ulta/2510254?id=Wbra93&fmt=jpg&fit=constrain,1&wid=260&hei=281&op_sharpen=1&resMode=bilin"
L.A. Girl,Just Blushing Powder,Blush,5.99 ,4.6 ,"https://images.ulta.com/is/image/Ulta/2517678?id=1OZ9M2&fmt=jpg&fit=constrain,1&wid=183&hei=360&op_sharpen=1&resMode=bilin"
Grande Cosmetics,GrandePOP Plumping Liquid Blush,Blush,12.50 ,4.9 ,"https://images.ulta.com/is/image/Ulta/2562027?id=ktLaw3&fmt=jpg&fit=constrain,1&wid=196&hei=361&op_sharpen=1&resMode=bilin"
Burt's Bees,100% Natural All Aglow Lip & Cheek Stick,Blush,12.99 ,4.5 ,"https://images.ulta.com/is/image/Ulta/2537394?id=JDvah3&fmt=jpg&fit=constrain,1&wid=215&hei=360&op_sharpen=1&resMode=bilin"
florence by mills,Cheek Me Later Cream Blush,Blush,14.00 ,4.1 ,"https://images.ulta.com/is/image/Ulta/2554997?id=RHkbq3&fmt=jpg&fit=constrain,1&wid=260&hei=249&op_sharpen=1&resMode=bilin"
Olio E Osso,Lip & Cheek Tinted Balm,Blush,28.00 ,5.0 ,"https://images.ulta.com/is/image/Ulta/2572749?id=hWra-3&fmt=jpg&fit=constrain,1&wid=260&hei=335&op_sharpen=1&resMode=bilin"
Tarte,Confessions of a Maneater Eye & Cheek Palette,Blush,30.00 ,3.7 ,"https://images.ulta.com/is/image/Ulta/2563762?id=jlZaH1&fmt=jpg&fit=constrain,1&wid=218&hei=359&op_sharpen=1&resMode=bilin"
MAC,Extra Dimension Blush,Blush,30.00 ,4.7 ,"https://images.ulta.com/is/image/Ulta/2510931?id=j_WaC0&fmt=jpg&fit=constrain,1&wid=260&hei=278&op_sharpen=1&resMode=bilin"
Too Faced,Peach Bloom Color Blossoming Lip & Cheek Tint,Blush,25.00 ,4.0 ,"https://images.ulta.com/is/image/Ulta/2573526?id=Andb62&fmt=jpg&fit=constrain,1&wid=137&hei=359&op_sharpen=1&resMode=bilin"
I Heart Revolution,Peach & Glow Mini Chocolate Duo,Blush,8.00 ,4.5 ,"https://images.ulta.com/is/image/Ulta/2545520?id=oEUa52&fmt=jpg&fit=constrain,1&wid=260&hei=155&op_sharpen=1&resMode=bilin"
Essence,The Blush,Blush,2.99 ,4.6 ,"https://images.ulta.com/is/image/Ulta/2558434?id=dXPai2&fmt=jpg&fit=constrain,1&wid=260&hei=260&op_sharpen=1&resMode=bilin"
e.l.f. Cosmetics,Cream Blush Palette,Blush,8.00 ,4.8 ,"https://images.ulta.com/is/image/Ulta/2506967?id=2glb50&fmt=jpg&fit=constrain,1&wid=260&hei=267&op_sharpen=1&resMode=bilin"
KVD Vegan Beauty,Everlasting Blush,Blush,26.00 ,4.8 ,"https://images.ulta.com/is/image/Ulta/2571832?id=3EMaH2&fmt=jpg&fit=constrain,1&wid=260&hei=263&op_sharpen=1&resMode=bilin"
BH Cosmetics,Vanilla Peach Truffle - 4 Color Blush Palette,Blush,12.00 ,4.5 ,"https://images.ulta.com/is/image/Ulta/2562542?id=XjEaj1&fmt=jpg&fit=constrain,1&wid=260&hei=255&op_sharpen=1&resMode=bilin"
Beauty Bakerie,Cotton Candy Champagne Blush Palette,Blush,38.00 ,4.0 ,"https://images.ulta.com/is/image/Ulta/2538266?id=IbZaZ1&fmt=jpg&fit=constrain,1&wid=175&hei=359&op_sharpen=1&resMode=bilin"
NYX Professional Makeup,Sweet Cheeks Soft Cheek Tint,Blush,9.00 ,4.4 ,"https://images.ulta.com/is/image/Ulta/2565837?id=64ya_2&fmt=jpg&fit=constrain,1&wid=163&hei=360&op_sharpen=1&resMode=bilin"
ColourPop,Blush,Blush,8.00 ,4.5 ,"https://images.ulta.com/is/image/Ulta/2577299?id=yk7b10&fmt=jpg&fit=constrain,1&wid=260&hei=257&op_sharpen=1&resMode=bilin"
Benefit Cosmetics,Georgia Blush Mini,Blush,17.00 ,3.0 ,"https://images.ulta.com/is/image/Ulta/2562487?id=xfdbT1&fmt=jpg&fit=constrain,1&wid=260&hei=200&op_sharpen=1&resMode=bilin"
Morphe,8D Deep Glam Complexion Pro Face Palette,Blush,24.00 ,4.9 ,"https://images.ulta.com/is/image/Ulta/2567767?id=gycbl0&fmt=jpg&fit=constrain,1&wid=260&hei=189&op_sharpen=1&resMode=bilin"
